,index,2023,2022,2021,2020
0,EBIT,472189838933.0,1162889605060.0,707478030389.0,114818832570.0
1,Net Income,153570962880.0,709143944186.0,384437177676.0,-120325584163.0
2,Gross Profit,832914122606.0,1616329972510.0,946687963815.0,395271165690.0
3,Operating Revenue,5062243740223.0,4828633601246.0,3390496525189.0,2617336401866.0
4,Free Cash Flow,484409392048.0,1376778135715.0,729874466284.0,-94756137695.0
