,index,2024,2023,2022,2021
0,EBIT,71020000000.0,40739000000.0,-3569000000.0,39960000000.0
1,Net Income,59248000000.0,30425000000.0,-2722000000.0,33364000000.0
2,Gross Profit,124622000000.0,93805000000.0,67640000000.0,66315000000.0
3,Operating Revenue,637959000000.0,574785000000.0,513983000000.0,469822000000.0
4,Free Cash Flow,32878000000.0,32217000000.0,-16893000000.0,-14726000000.0
