,index,2024,2023,2022,2021
0,EBIT,-547000000.0,255700000.0,-344200000.0,-252900000.0
1,Net Income,-933400000.0,-163500000.0,-421000000.0,-277300000.0
2,Gross Profit,2293600000.0,2987500000.0,2064200000.0,1488300000.0
3,Operating Revenue,5507700000.0,5919600000.0,4462400000.0,2968900000.0
4,Free Cash Flow,1020300000.0,1071500000.0,632400000.0,697800000.0
