,index,2024,2023,2022,2021
0,EBIT,5468000000.0,5105000000.0,5164000000.0,4138000000.0
1,Net Income,3280000000.0,3115000000.0,3347000000.0,2648000000.0
2,Gross Profit,14968000000.0,12926000000.0,11563000000.0,9557000000.0
3,Operating Revenue,37112000000.0,32070000000.0,27383000000.0,22097000000.0
4,Free Cash Flow,6162000000.0,5102000000.0,4127000000.0,4315000000.0
