,index,2024,2023,2022,2021
0,EBIT,123216000000.0,114301000000.0,119437000000.0,111852000000.0
1,Net Income,93736000000.0,96995000000.0,99803000000.0,94680000000.0
2,Gross Profit,180683000000.0,169148000000.0,170782000000.0,152836000000.0
3,Operating Revenue,391035000000.0,383285000000.0,394328000000.0,365817000000.0
4,Free Cash Flow,108807000000.0,99584000000.0,111443000000.0,92953000000.0
