,index,2023,2022,2021,2020
0,EBIT,10414000000.0,11126000000.0,9054000000.0,8699000000.0
1,Net Income,6487000000.0,7642000000.0,6049000000.0,5581000000.0
2,Gross Profit,25175000000.0,24167000000.0,22185000000.0,22040000000.0
3,Operating Revenue,59604000000.0,60073000000.0,52444000000.0,50724000000.0
4,Free Cash Flow,7681000000.0,5573000000.0,6632000000.0,8037000000.0
