,index,2023,2022,2021,2020
0,EBIT,-3148000.0,-3019000.0,-3967000.0,-2147000.0
1,Net Income,-3399000.0,-2752000.0,-3425000.0,-1293000.0
2,Gross Profit,2446000.0,3250000.0,2908000.0,3919000.0
3,Operating Revenue,4292000.0,5585000.0,5492000.0,6875000.0
4,Free Cash Flow,-1251000.0,-2579000.0,-4228000.0,-2107000.0
