,index,2024,2023,2022,2021,2020
0,EBIT,9340000000.0,10129000000.0,13910000000.0,6714000000.0,
1,Net Income,7130000000.0,14999000000.0,12583000000.0,5524000000.0,
2,Gross Profit,17450000000.0,17660000000.0,20853000000.0,13606000000.0,
3,Operating Revenue,97690000000.0,96773000000.0,81462000000.0,53823000000.0,
4,Free Cash Flow,3581000000.0,4357000000.0,7552000000.0,3483000000.0,
